attribute_code,frontend_label,option_code,option_label
material,Materiaal,,
material,Materiaal,wood,Hout
material,Materiaal,metal,Metaal
material,Materiaal,fabric,Stof
material,Materiaal,leather,Leer
material,Materiaal,glass,Glas
material,Materiaal,ceramic,Keramiek
color_family,Kleur,,
color_family,Kleur,grey,Grijs
color_family,Kleur,beige,Beige
color_family,Kleur,navy,Marineblauw
color_family,Kleur,forest,Bosgroen
color_family,Kleur,white,Wit
color_family,Kleur,black,Zwart
fabric,Stof,,
fabric,Stof,linen,Linnen
fabric,Stof,velvet,Fluweel
fabric,Stof,leather,Leer
fabric,Stof,boucle,Boucle
room,Kamer,,
room,Kamer,living,Woonkamer
room,Kamer,bedroom,Slaapkamer
room,Kamer,dining,Eetkamer
room,Kamer,office,Kantoor
room,Kamer,outdoor,Buiten
style,Stijl,,
style,Stijl,scandinavian,Scandinavisch
style,Stijl,industrial,Industrieel
style,Stijl,mid-century,Mid-century
style,Stijl,modern,Modern
style,Stijl,bohemian,Bohemian
dimensions,Afmetingen,,
weight_capacity,Maximaal Gewicht,,
