sku,link_type,linked_skus
DRX-HL-CT-001,related,"DRX-HL-CT-INDUSTRI,DRX-HL-CT-003,DRX-HL-CT-002"
DRX-HL-CT-001,upsell,"DRX-HL-CT-HAIRPIN,DRX-HL-CT-009"
DRX-HL-CT-001,crosssell,"DRX-HL-LC-BARREL,DRX-HL-LC-WISHBONE"
DRX-HL-CT-002,related,"DRX-HL-CT-005,DRX-HL-CT-004,DRX-HL-CT-NESTING"
DRX-HL-CT-002,upsell,"DRX-HL-CT-009,DRX-HL-CT-MARBLE"
DRX-HL-CT-002,crosssell,"DRX-HL-VAS-GLASS-TA,DRX-HL-SOFA-OSL"
DRX-HL-CT-003,related,"DRX-HL-CT-004,DRX-HL-CT-LIVE-EDG,DRX-HL-CT-STORAGE"
DRX-HL-CT-003,upsell,"DRX-HL-CT-NESTING,DRX-HL-CT-010"
DRX-HL-CT-003,crosssell,"DRX-HL-TL-WOOD-BAS,DRX-HL-LC-TUB-CHAI"
DRX-HL-NS-001,related,"DRX-HL-NS-BOHEMIAN,DRX-HL-NS-GLASS-TO,DRX-HL-NS-003"
DRX-HL-NS-001,upsell,"DRX-HL-NS-ROUND,DRX-HL-NS-FLOATING"
DRX-HL-NS-001,crosssell,"DRX-HL-TL-CYLINDER,DRX-HL-BED-001"
DRX-HL-NS-002,related,"DRX-HL-NS-004,DRX-HL-NS-OPEN-SHE,DRX-HL-NS-TWO-DRAW"
DRX-HL-NS-002,upsell,"DRX-HL-NS-FLOATING,DRX-HL-NS-ROUND"
DRX-HL-NS-002,crosssell,"DRX-HL-TL-MUSHROOM,DRX-HL-VAS-004"
DRX-HL-WAR-001,related,"DRX-HL-WAR-005,DRX-HL-WAR-002,DRX-HL-WAR-THREE-DO"
DRX-HL-WAR-001,upsell,"DRX-HL-WAR-INDUSTRI,DRX-HL-WAR-COMPACT"
DRX-HL-WAR-001,crosssell,"DRX-HL-MIR-005,DRX-HL-FL-MULTI-AR"
DRX-HL-BED-001,related,"DRX-HL-BED-PLATFORM,DRX-HL-BED-002,DRX-HL-BED-STORAGE"
DRX-HL-BED-001,upsell,"DRX-HL-BED-INDUSTRI,DRX-HL-BED-4-POSTER"
DRX-HL-BED-001,crosssell,"DRX-HL-TL-CERAMIC-,DRX-HL-NS-OPEN-SHE"
DRX-HL-DT-001,related,"DRX-HL-DT-BOHEMIAN,DRX-HL-DT-EXTENDIN,DRX-HL-DT-TRESTLE"
DRX-HL-DT-001,upsell,"DRX-HL-DT-INDUSTRI,DRX-HL-DT-GLASS-TO"
DRX-HL-DT-001,crosssell,"DRX-HL-WA-PHOTOGRA,DRX-HL-PL-005"
DRX-HL-DC-001,related,"DRX-HL-DC-003,DRX-HL-DC-002,DRX-HL-DC-005"
DRX-HL-DC-001,upsell,"DRX-HL-DC-LADDER-B,DRX-HL-DC-008"
DRX-HL-DC-001,crosssell,"DRX-HL-VAS-GLASS-TA,DRX-HL-DT-TRESTLE"
DRX-HL-PL-001,related,"DRX-HL-PL-003,DRX-HL-PL-LINEAR,DRX-HL-PL-008"
DRX-HL-PL-001,upsell,"DRX-HL-PL-CONE,DRX-HL-PL-RATTAN"
DRX-HL-PL-001,crosssell,"DRX-HL-DT-LIVE-EDG,DRX-HL-SOFA-HEL"
DRX-HL-FL-001,related,"DRX-HL-FL-CONE-SHA,DRX-HL-FL-008,DRX-HL-FL-ARC"
DRX-HL-FL-001,upsell,"DRX-HL-FL-DRUM-SHA,DRX-HL-FL-ARC"
DRX-HL-FL-001,crosssell,"DRX-HL-SOFA-CABRIOLE,DRX-HL-WA-001"
DRX-HL-FL-002,related,"DRX-HL-FL-007,DRX-HL-FL-DRUM-SHA,DRX-HL-FL-MULTI-AR"
